Marketing Spend,Administration,Transport,Area,Profit
137454.01,157566.77,306285.84,Dhaka,184935.88416191033
195071.43,142010.63,427282.08,Dhaka,226021.86534369361
173199.39,155159.92,362871.2,Rangpur,209824.6520798087
159865.85,151586.19,401714.14,Ctg,207946.9231156847
115601.86,127832.0,481513.29,Ctg,193511.86600511693
115599.45,153749.94,349858.45,Dhaka,174468.83513085576
105808.36,87079.4,382076.58,Khulna,160659.59087115902
186617.61,95678.63,451110.23,Ctg,218015.04899266982
160111.5,83618.18,345759.63,Khulna,186512.4330545933
170807.26,106026.43,315395.98,Ctg,185922.99580667348
102058.45,111094.18,357950.29,Khulna,169766.96962208554
196990.99,101707.92,332244.26,Rangpur,209152.53658134665
183244.26,146299.0,485939.53,Khulna,238077.28121085558
121233.91,108540.27,461624.08,Rangpur,185474.5184145225
118182.5,102474.76,426680.75,Rangpur,168969.62076158103
118340.45,123415.69,474292.12,Khulna,204006.9922805682
130424.22,91273.94,460734.42,Rangpur,192238.16007132243
152475.64,144175.76,337314.01,Dhaka,187617.61921975226
143194.5,85964.05,478511.8,Rangpur,197177.02922755573
129122.91,158950.95,407868.45,Ctg,202905.78398490054
161185.29,141779.58,461488.03,Khulna,223555.56634749437
113949.39,95897.25,479218.26,Dhaka,190824.52916288318
129214.46,80441.77,363600.69,Khulna,169334.06405995737
136636.18,145236.91,322010.38,Ctg,173206.9645382038
145607.0,136548.59,345587.03,Ctg,191132.21996160434
178517.6,138320.57,385421.56,Ctg,217464.811307571
119967.38,141701.63,463602.95,Rangpur,199887.27432440026
151423.44,85923.57,472146.12,Rangpur,192145.5286901929
159241.46,108677.26,301390.43,Khulna,175746.09687668036
104645.04,89269.52,402149.46,Khulna,160881.12773439733
160754.49,149048.27,383482.2,Dhaka,210638.05279965396
117052.41,129863.85,344421.56,Dhaka,177711.61961201954
106505.16,106471.84,323973.07,Khulna,159111.17722028223
194888.55,85084.67,367523.03,Rangpur,202176.95992481004
196563.2,104878.59,488581.94,Ctg,226123.35955010314
180839.73,106014.67,364640.59,Khulna,202881.69326214158
130461.38,138368.49,403758.12,Dhaka,185643.50571641853
109767.21,131004.6,440603.79,Rangpur,179446.8392525337
168423.3,150977.02,372725.92,Khulna,215443.30774095448
144015.25,117777.19,494356.42,Khulna,212014.09345903093
112203.82,89567.54,492489.46,Rangpur,188516.97385343318
149517.69,137059.58,350356.46,Khulna,195637.81101845996
103438.85,140862.8,399449.7,Rangpur,188540.31579530874
190932.04,124902.18,360175.66,Ctg,208440.6331507597
125878.0,141677.37,356968.1,Rangpur,170803.80466409225
166252.23,119503.65,307377.39,Rangpur,181280.03971952596
131171.11,121818.63,421912.87,Rangpur,182698.63986966936
152006.8,114203.28,400535.8,Khulna,202257.44400406536
154671.03,82033.53,310295.75,Khulna,171214.6243223501
118485.45,88631.31,355729.29,Rangpur,157291.6169145109
